transition_min;replication;seed;generated_active_count;cancelled_not_started_count;all_aircraft_land_above_reserve;at_least_one_aircraft_ever_low_fuel;at_least_one_aircraft_ever_emergency_endurance;at_least_one_aircraft_ever_below_reserve;at_least_one_aircraft_landed_below_reserve;minimum_fuel_margin_percent_of_reserve;minimum_fuel_margin_percent_of_normal_load;minimum_remaining_endurance_min;minimum_low_fuel_endurance_margin_min;minimum_emergency_endurance_margin_min;mean_holding_time_min;mean_holding_time_per_active_aircraft_min;holding_delay_rate;max_holding_time_min;total_holding_time_min;total_holding_fuel_consumption_kg;at_least_one_go_around;total_go_around_count;go_around_sortie_count;go_around_sortie_rate;go_around_events_per_active_sortie;diversion_rate;diversion_before_holding_rate;diversion_after_holding_rate;fuel_priority_landings;landed_count;diverted_count;diverted_before_holding_count;diverted_after_holding_count;crashed_count;crashed_from_go_around_transition_count;crashed_from_other_status_count;crashed_after_go_around_count;crashed_without_go_around_count;crashed_from_statuses;not_landed_count;ever_vfr_activity_count;ever_ready_for_approach_count;ever_holding_count;ever_approach_count;active_unresolved_count;final_simulation_time_min
45;24;20260731;16;14;True;False;False;False;False;43,1509;11,7317;41,5138;16,5138;26,5138;2,5303;1,7396;0,6875;5,9167;27,8333;438,6383;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;11;16;0;88,9167
60;24;20260731;19;11;True;False;False;False;False;11,7396;3,1917;32,4045;7,4045;17,4045;3,3667;1,7719;0,5263;6,9167;33,6667;322,7133;True;2;1;0,0526;0,1053;0,0000;0,0000;0,0000;0;19;0;0;0;0;0;0;0;0;;0;16;19;10;19;0;139,9167
75;24;20260731;20;10;True;False;False;False;False;20,2223;5,4979;32,6379;7,6379;17,6379;3,1548;1,1042;0,3500;6,2500;22,0833;153,3333;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;20;0;0;0;0;0;0;0;0;;0;19;20;7;20;0;111,2500
90;24;20260731;22;8;True;False;False;False;False;20,2223;5,4979;32,6379;7,6379;17,6379;3,8667;0,8788;0,2273;10,0833;19,3333;109,2750;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;22;0;0;0;0;0;0;0;0;;0;21;22;5;22;0;120,5000
30;25;20260732;15;15;True;False;False;False;False;76,8809;20,9020;51,2955;26,2955;36,2955;4,3810;4,0889;0,9333;18,3333;61,3333;653,8217;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;15;0;0;0;0;0;0;0;0;;0;14;15;14;15;0;90,3333
45;25;20260732;16;14;False;True;True;True;False;-69,6684;-11,4381;5,2133;-19,7867;-9,7867;5,8229;2,9115;0,5000;12,7500;46,5833;876,9717;True;3;1;0,0625;0,1875;0,0625;0,0000;0,0625;0;15;1;0;1;0;0;0;0;0;;1;16;16;8;16;0;101,6667
60;25;20260732;19;11;True;False;False;False;False;42,5476;11,5676;41,3388;16,3388;26,3388;4,7167;2,4825;0,5263;12,9167;47,1667;573,4800;True;1;1;0,0526;0,0526;0,0000;0,0000;0,0000;0;19;0;0;0;0;0;0;0;0;;0;16;19;10;19;0;113,4167
75;25;20260732;20;10;True;False;False;False;False;34,6708;9,4261;34,6877;9,6877;19,6877;3,0417;1,2167;0,4000;5,5000;24,3333;266,3800;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;20;0;0;0;0;0;0;0;0;;0;19;20;8;20;0;111,0833
90;25;20260732;22;8;True;False;False;False;False;34,6708;9,4261;33,8976;8,8976;18,8976;4,5278;1,2348;0,2727;8,3333;27,1667;274,2083;True;2;2;0,0909;0,0909;0,0000;0,0000;0,0000;0;22;0;0;0;0;0;0;0;0;;0;21;22;6;22;0;146,3333
30;26;20260733;15;15;False;False;False;True;True;-8,9362;-2,4295;26,4085;1,4085;11,4085;4,4107;4,1167;0,9333;12,7500;61,7500;814,5333;True;1;1;0,0667;0,0667;0,0000;0,0000;0,0000;0;15;0;0;0;0;0;0;0;0;;0;14;15;14;15;0;96,6667
45;26;20260733;16;14;True;False;False;False;False;20,2751;5,5123;33,7835;8,7835;18,7835;5,6439;3,8802;0,6875;22,9167;62,0833;635,7367;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;11;16;0;93,0000
60;26;20260733;16;14;True;False;False;False;False;27,8211;7,5639;37,0681;12,0681;22,0681;3,0139;1,1302;0,3750;5,5000;18,0833;219,7550;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;6;16;0;92,0000
75;26;20260733;20;10;True;False;False;False;False;27,8211;7,5639;36,7489;11,7489;21,7489;3,0714;1,0750;0,3500;5,9167;21,5000;161,1667;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;20;0;0;0;0;0;0;0;0;;0;17;20;7;20;0;110,1667
90;26;20260733;21;9;True;False;False;False;False;27,8211;7,5639;36,7489;11,7489;21,7489;2,9643;0,9881;0,3333;5,0000;20,7500;152,0417;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;7;21;0;126,6667
30;27;20260734;16;14;True;False;False;False;False;69,0919;18,7843;39,7078;14,7078;24,7078;5,1562;5,1562;1,0000;22,5000;82,5000;1044,5833;True;2;1;0,0625;0,1250;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;15;16;16;16;0;98,8333
45;27;20260734;16;14;True;False;False;False;False;73,7602;20,0535;48,9277;23,9277;33,9277;2,6000;1,6250;0,6250;4,7500;26,0000;370,8550;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;10;16;0;87,8333
60;27;20260734;18;12;True;False;False;False;False;15,5554;4,2291;33,5111;8,5111;18,5111;4,2812;1,9028;0,4444;10,9167;34,2500;307,4050;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;18;0;0;0;0;0;0;0;0;;0;16;18;8;18;0;101,8333
75;27;20260734;21;9;True;False;False;False;False;13,5460;3,6828;29,4722;4,4722;14,4722;3,1458;1,1984;0,3810;6,9167;25,1667;161,4850;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;19;21;8;21;0;112,4167
90;27;20260734;21;9;True;False;False;False;False;13,5460;3,6828;32,5460;7,5460;17,5460;3,2667;0,7778;0,2381;7,1667;16,3333;122,0417;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;5;21;0;118,7500
30;28;20260735;14;16;True;False;False;False;False;94,6370;25,7294;52,5161;27,5161;37,5161;3,0641;2,8452;0,9286;8,6667;39,8333;545,5400;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;14;0;0;0;0;0;0;0;0;;0;13;14;13;14;0;82,3333
45;28;20260735;16;14;True;False;False;False;False;44,8355;12,1897;42,0023;17,0023;27,0023;3,7604;1,8802;0,5000;10,0000;30,0833;492,8717;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;8;16;0;82,1667
60;28;20260735;19;11;False;False;False;True;True;-10,8681;-2,9548;25,8483;0,8483;10,8483;3,0000;1,4211;0,4737;5,0000;27,0000;302,2550;True;1;1;0,0526;0,0526;0,0000;0,0000;0,0000;0;19;0;0;0;0;0;0;0;0;;0;16;19;9;19;0;127,9167
75;28;20260735;19;11;True;False;False;False;False;15,3536;4,1743;33,4525;8,4525;18,4525;3,9048;1,4386;0,3684;9,4167;27,3333;337,4567;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;19;0;0;0;0;0;0;0;0;;0;19;19;7;19;0;110,1667
90;28;20260735;21;9;True;True;False;False;False;15,3536;3,7394;21,1021;-3,8979;6,1021;4,4306;1,2659;0,2857;9,5833;26,5833;406,6250;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;1;21;0;0;0;0;0;0;0;0;;0;20;21;6;21;0;120,6667
30;29;20260736;16;14;True;False;False;False;False;121,3988;33,0053;64,2056;39,2056;49,2056;4,4583;3,9010;0,8750;20,8333;62,4167;471,2067;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;15;16;14;16;0;87,2500
45;29;20260736;16;14;True;False;False;False;False;54,4221;14,7960;44,4891;19,4891;29,4891;3,4359;2,7917;0,8125;8,5833;44,6667;650,2050;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;13;16;0;116,0000
60;29;20260736;18;12;True;False;False;False;False;68,3434;18,5809;40,0027;15,0027;25,0027;4,0104;1,7824;0,4444;8,7500;32,0833;462,7967;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;18;0;0;0;0;0;0;0;0;;0;16;18;8;18;0;100,8333
75;29;20260736;20;10;False;True;True;True;False;-48,2966;-13,1306;14,9940;-10,0060;-0,0060;3,4881;1,2208;0,3500;9,1667;24,4167;192,5417;True;1;1;0,0500;0,0500;0,0500;0,0000;0,0500;0;19;1;0;1;0;0;0;0;0;;1;19;20;7;20;0;111,5000
