transition_min;replication;seed;generated_active_count;cancelled_not_started_count;all_aircraft_land_above_reserve;at_least_one_aircraft_ever_low_fuel;at_least_one_aircraft_ever_emergency_endurance;at_least_one_aircraft_ever_below_reserve;at_least_one_aircraft_landed_below_reserve;minimum_fuel_margin_percent_of_reserve;minimum_fuel_margin_percent_of_normal_load;minimum_remaining_endurance_min;minimum_low_fuel_endurance_margin_min;minimum_emergency_endurance_margin_min;mean_holding_time_min;mean_holding_time_per_active_aircraft_min;holding_delay_rate;max_holding_time_min;total_holding_time_min;total_holding_fuel_consumption_kg;at_least_one_go_around;total_go_around_count;go_around_sortie_count;go_around_sortie_rate;go_around_events_per_active_sortie;diversion_rate;diversion_before_holding_rate;diversion_after_holding_rate;fuel_priority_landings;landed_count;diverted_count;diverted_before_holding_count;diverted_after_holding_count;crashed_count;crashed_from_go_around_transition_count;crashed_from_other_status_count;crashed_after_go_around_count;crashed_without_go_around_count;crashed_from_statuses;not_landed_count;ever_vfr_activity_count;ever_ready_for_approach_count;ever_holding_count;ever_approach_count;active_unresolved_count;final_simulation_time_min
75;36;20260743;19;11;False;True;True;True;True;-35,3061;-9,5988;11,3247;-13,6753;-3,6753;15,0000;4,7368;0,3158;22,9167;90,0000;1781,0167;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;2;19;0;0;0;0;0;0;0;0;;0;17;19;6;19;0;122,0000
90;36;20260743;22;8;True;False;False;False;False;34,5076;9,3818;36,3611;11,3611;21,3611;14,7833;3,3598;0,2273;28,8333;73,9167;892,0150;True;1;1;0,0455;0,0455;0,0000;0,0000;0,0000;0;22;0;0;0;0;0;0;0;0;;0;21;22;5;22;0;159,9167
30;37;20260744;15;15;False;True;False;True;True;-26,6549;-7,2468;21,2701;-3,7299;6,2701;24,2756;21,0389;0,8667;46,5833;315,5833;4357,8950;True;1;1;0,0667;0,0667;0,0000;0,0000;0,0000;1;15;0;0;0;0;0;0;0;0;;0;14;15;13;15;0;100,0000
45;37;20260744;16;14;True;False;False;False;False;1,2099;0,3290;29,3509;4,3509;14,3509;15,4500;9,6562;0,6250;29,9167;154,5000;2309,3800;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;10;16;0;99,5833
60;37;20260744;16;14;False;True;True;True;True;-58,6061;-15,9335;12,0042;-12,9958;-2,9958;20,6944;7,7604;0,3750;33,5833;124,1667;1945,1350;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;1;16;0;0;0;0;0;0;0;0;;0;16;16;6;16;0;109,3333
75;37;20260744;19;11;True;False;False;False;False;26,6230;7,2381;33,9360;8,9360;18,9360;11,0625;2,3289;0,2105;23,0833;44,2500;827,1250;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;19;0;0;0;0;0;0;0;0;;0;16;19;4;19;0;114,3333
90;37;20260744;21;9;True;False;False;False;False;26,6230;7,2381;36,3158;11,3158;21,3158;12,2292;2,3294;0,1905;24,9167;48,9167;226,9350;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;4;21;0;132,2500
30;38;20260745;13;17;False;False;False;True;True;-2,0438;-0,5557;28,4073;3,4073;13,4073;20,8333;17,6282;0,8462;36,0000;229,1667;2685,7967;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;13;0;0;0;0;0;0;0;0;;0;12;13;11;13;0;89,9167
45;38;20260745;16;14;True;False;False;False;False;18,5742;5,0499;34,3865;9,3865;19,3865;11,7750;7,3594;0,6250;25,1667;117,7500;1848,9933;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;10;16;0;94,4167
60;38;20260745;19;11;False;True;False;True;True;-38,4988;-10,4669;17,8354;-7,1646;2,8354;12,8796;6,1009;0,4737;26,9167;115,9167;2018,9000;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;2;19;0;0;0;0;0;0;0;0;;0;17;19;9;19;0;105,8333
75;38;20260745;20;10;True;False;False;False;False;31,1060;8,4570;37,0932;12,0932;22,0932;11,0000;3,3000;0,3000;23,0833;66,0000;1028,3750;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;20;0;0;0;0;0;0;0;0;;0;19;20;6;20;0;119,1667
90;38;20260745;21;9;True;False;False;False;False;31,1060;8,4570;37,0932;12,0932;22,0932;13,8333;2,6349;0,1905;27,2500;55,3333;685,0883;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;4;21;0;130,0833
30;39;20260746;16;14;True;False;False;False;False;28,9660;7,8751;35,7732;10,7732;20,7732;17,3278;16,2448;0,9375;36,7500;259,9167;3272,0850;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;15;16;15;16;0;89,8333
45;39;20260746;16;14;False;True;False;True;True;-26,9661;-7,3314;21,1798;-3,8202;6,1798;18,2917;9,1458;0,5000;29,9167;146,3333;2084,0150;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;1;16;0;0;0;0;0;0;0;0;;0;16;16;8;16;0;99,9167
